Source,Target,Weight,Type
ISL,IEL,0.37,excitatory
HU,DC,1.59,excitatory
RHR,CJ,0.83,excitatory
YTL,PNL,1.48,excitatory
LK,PM,1.39,excitatory
BD,WDL,1.32,excitatory
IPL,ZX,0.28,excitatory
IEL,KRR,1.7,excitatory
PJR,ENR,1.88,excitatory
ALL,YT,0.19,excitatory
ZWL,DRR,1.32,excitatory
VZR,KRR,0.58,excitatory
MDR,JRR,1.63,excitatory
LH,DUL,1.72,excitatory
KRR,WJL,0.77,excitatory
YN,PNL,1.85,excitatory
WSL,RSR,1.98,excitatory
HU,LEL,0.7,excitatory
ZBL,VI,1.56,excitatory
WSL,PJR,1.08,excitatory
LM,XNR,0.99,excitatory
HJ,NI,0.3,excitatory
FO,NO,1.52,excitatory
HDL,UG,1.51,excitatory
ES,BKL,0.52,excitatory
LUR,TF,1.92,excitatory
ZGL,TOL,0.85,excitatory
FU,GIL,1.94,excitatory
JRR,BBR,1.02,excitatory
SRR,WI,0.68,excitatory
AP,BER,0.19,excitatory
MOL,CJ,1.91,excitatory
STL,WP,0.72,excitatory
RGR,FH,1.42,excitatory
VJL,JRR,0.34,excitatory
VJL,FZR,0.55,excitatory
RSR,JMR,1.35,excitatory
GUL,LIR,0.49,excitatory
YT,GJL,0.12,excitatory
BPR,BDR,0.98,excitatory
CNR,KG,0.49,excitatory
WL,PNL,0.44,excitatory
UT,UE,0.11,excitatory
HI,NW,1.94,excitatory
XUR,MCL,1.13,excitatory
VAL,PM,0.59,excitatory
UOL,JRR,0.83,excitatory
JOR,DML,0.32,excitatory
DD,DF,0.95,excitatory
LAL,IJ,1.36,excitatory
AVR,YUL,1.64,excitatory
LAL,CBR,0.88,excitatory
NT,CZL,0.91,excitatory
MPR,SSL,0.7,excitatory
IDR,PNL,1.05,excitatory
STL,BER,0.71,excitatory
DC,NW,0.96,excitatory
YDR,SD,0.43,excitatory
KM,NW,0.37,excitatory
IPL,YT,1.01,excitatory
EDR,PZL,0.41,excitatory
PM,WP,0.13,excitatory
ZGL,NI,0.2,excitatory
RLR,MDR,1.5,excitatory
FO,HRR,0.64,excitatory
ZWL,UAR,1.26,excitatory
DVR,PO,1.07,excitatory
FN,MYR,0.29,excitatory
PZL,PJR,0.97,excitatory
GNR,JR,0.78,excitatory
JT,YDR,0.51,excitatory
LEL,DI,1.34,excitatory
BBR,AKR,0.78,excitatory
CX,CRL,1.47,excitatory
CX,FN,0.34,excitatory
TLR,LH,0.37,excitatory
AIL,ZT,1.26,excitatory
RGR,IVL,0.49,excitatory
JOR,SD,1.13,excitatory
ZCL,PV,1.59,excitatory
CDR,GYL,0.55,excitatory
GHL,ZRR,1.74,excitatory
CRL,ZCL,0.77,excitatory
OKL,DF,1.72,excitatory
GU,WL,0.15,excitatory
GE,YPR,0.15,excitatory
YZL,STL,1.53,excitatory
HFR,JGR,1.52,excitatory
RGR,CDR,1.71,excitatory
NV,TF,1.08,excitatory
GML,JV,0.29,excitatory
BWR,CNR,1.71,excitatory
BA,NXL,0.28,excitatory
BDR,MZ,1.09,excitatory
DC,LO,1.13,excitatory
MXR,MCL,1.34,excitatory
OKL,IJR,1.97,excitatory
VOL,NPR,1.57,excitatory
ENR,BE,0.34,excitatory
WB,XI,0.32,excitatory
TOR,YTL,1.95,excitatory
EHL,RRR,1.18,excitatory
EER,TLR,1.89,excitatory
DUL,GSR,1.15,excitatory
RHR,TBR,1.8,excitatory
WGL,AP,1.85,excitatory
VZ,YDR,0.9,excitatory
CZL,TJ,0.62,excitatory
ZR,ENR,1.36,excitatory
UP,GZL,1.91,excitatory
DVL,RSR,1.91,excitatory
WLR,SE,1.8,excitatory
HN,NPR,0.35,excitatory
MR,FFR,0.18,excitatory
WS,WUR,0.32,excitatory
EM,HR,1.38,excitatory
ES,EHL,0.67,excitatory
RRR,MXR,1.29,excitatory
NW,MYR,0.39,excitatory
MVR,EZL,0.21,excitatory
VOL,MOL,0.86,excitatory
ZYR,TOL,1.91,excitatory
TBR,JO,1.48,excitatory
XEL,ZBL,0.58,excitatory
KS,DI,1.77,excitatory
STL,WB,0.59,excitatory
EHL,JH,0.78,excitatory
VKR,SBL,1.86,excitatory
AS,ESR,1.89,excitatory
XML,SJR,0.44,excitatory
DVL,HRR,0.38,excitatory
LXR,YPR,1.46,excitatory
UG,GIL,1.32,excitatory
ENR,ASL,1.28,excitatory
XML,TOR,0.48,excitatory
AE,GBL,0.51,excitatory
HN,DML,1.67,excitatory
CNR,XL,0.27,excitatory
CBR,XHL,0.27,excitatory
LK,TLR,0.38,excitatory
FR,EDR,1.48,excitatory
WSL,CX,0.68,excitatory
FO,LH,0.68,excitatory
LX,EER,0.34,excitatory
PYL,JRR,1.74,excitatory
PJR,MML,1.33,excitatory
YPR,CBR,0.42,excitatory
YP,FU,1.24,excitatory
ENR,PIL,1.91,excitatory
XML,GZ,0.26,excitatory
PSR,TF,1.83,excitatory
ZBL,AKR,1.87,excitatory
ENR,HYR,1.85,excitatory
DI,MLR,0.83,excitatory
FMR,ENR,1.4,excitatory
NT,GHL,0.68,excitatory
MY,ZBL,0.45,excitatory
XL,ZRR,0.62,excitatory
HYR,UAR,1.25,excitatory
UKR,TBR,1.31,excitatory
AIL,PSR,1.47,excitatory
OCR,KM,0.21,excitatory
LM,VUL,0.15,excitatory
PSR,CDR,1.82,excitatory
NXL,DF,1.88,excitatory
VW,FN,1.14,excitatory
SD,AX,1.53,excitatory
ZR,GZ,1.48,excitatory
WJ,HSR,1.26,excitatory
AIL,JV,0.13,excitatory
VI,SJR,0.96,excitatory
HI,SE,1.21,excitatory
CV,FN,1.54,excitatory
WS,ZT,1.89,excitatory
XUR,OJL,1.94,excitatory
ZRR,WP,1.17,excitatory
PPR,VI,0.79,excitatory
FO,NV,1.61,excitatory
JT,IJR,0.16,excitatory
UVL,EZL,1.16,excitatory
BER,ASL,1.99,excitatory
CIL,DRR,1.31,excitatory
LXR,WS,0.76,excitatory
ZR,HYR,0.56,excitatory
IRL,WDL,1.29,excitatory
GD,ECL,0.58,excitatory
WB,HSR,1.18,excitatory
DU,PM,0.17,excitatory
MYR,MVR,0.88,excitatory
ZCL,WLR,0.66,excitatory
FFR,WB,1.42,excitatory
CZL,WFR,1.24,excitatory
GHL,MR,1.99,excitatory
MR,DU,0.87,excitatory
LX,NXL,1.12,excitatory
HK,VOL,0.41,excitatory
DRR,FUL,0.36,excitatory
YUL,NXL,0.19,excitatory
PV,AP,0.16,excitatory
BRR,IPL,0.26,excitatory
GZL,XT,1.54,excitatory
WLR,BBR,0.64,excitatory
VC,ES,0.4,excitatory
XIR,HA,0.77,excitatory
UAR,FH,0.94,excitatory
YTL,JT,1.41,excitatory
GUL,MP,1.26,excitatory
SU,GNR,1.19,excitatory
YDR,OOL,1.02,excitatory
WI,IEL,0.23,excitatory
CNR,LUR,1.42,excitatory
OJL,PIL,1.64,excitatory
MZL,NXL,1.67,excitatory
HI,TOL,1.57,excitatory
XV,YB,1.17,excitatory
BRR,ASL,1.89,excitatory
WUR,WGL,1.02,excitatory
YPR,DVR,0.8,excitatory
WDR,DUL,0.64,excitatory
GML,SD,1.73,excitatory
MZL,WFR,1.05,excitatory
FJR,LUR,0.61,excitatory
PO,WF,1.02,excitatory
IVL,BDR,0.18,excitatory
IVL,XJ,0.27,excitatory
KOR,TJ,0.22,excitatory
AIL,VC,0.62,excitatory
BRR,JR,1.83,excitatory
FU,FN,0.55,excitatory
WDL,RLR,1.28,excitatory
WDR,GUL,1.01,excitatory
OJR,XUR,0.77,excitatory
VUL,ZRR,0.25,excitatory
IPL,SSL,0.69,excitatory
LO,IPL,1.15,excitatory
GEL,VF,1.54,excitatory
WUR,RHR,1.35,excitatory
WF,WDL,1.68,excitatory
MYR,IDR,1.07,excitatory
WJL,FZR,0.14,excitatory
GEL,HK,1.92,excitatory
XL,ZM,0.99,excitatory
FVL,HI,1.59,excitatory
GU,EGL,1.65,excitatory
CBR,KOR,0.6,excitatory
ZJ,WL,1.32,excitatory
XT,UFR,0.83,excitatory
CV,AI,1.0,excitatory
VZR,MCL,1.82,excitatory
BD,NCR,1.63,excitatory
SBL,PV,0.97,excitatory
OOL,LXR,0.39,excitatory
VZR,OHR,1.98,excitatory
DRR,BD,0.59,excitatory
LK,STL,1.21,excitatory
ZRR,XI,1.0,excitatory
NPR,MZ,1.46,excitatory
WDR,BTR,1.06,excitatory
RGR,KAL,1.09,excitatory
PV,MLR,0.3,excitatory
JV,LEL,0.91,excitatory
DY,VI,1.07,excitatory
DI,ZWL,1.12,excitatory
RHR,WS,0.9,excitatory
EM,SSL,0.68,excitatory
IO,XE,0.55,excitatory
CDR,UFR,1.71,excitatory
FVL,LB,1.49,excitatory
BRL,KS,1.67,excitatory
MXR,WF,0.93,excitatory
XML,KIR,1.96,excitatory
YDR,OJR,1.18,excitatory
GZ,GNR,0.35,excitatory
ZBL,BD,0.51,excitatory
WJL,SBL,0.44,excitatory
KIR,IER,0.47,excitatory
TBR,RSR,1.99,excitatory
MYR,DRL,1.23,excitatory
DRL,GF,0.42,excitatory
WUR,GZ,1.07,excitatory
ZX,EUR,0.51,excitatory
YPL,MZ,0.71,excitatory
RSR,DD,1.87,excitatory
HI,CV,0.14,excitatory
EHL,BTR,0.77,excitatory
WS,GBL,0.33,excitatory
NKL,SAR,0.76,excitatory
BA,BDR,0.99,excitatory
EUR,AXL,1.71,excitatory
GCR,WFL,0.59,excitatory
UP,FR,1.85,excitatory
ZZR,MXR,0.3,excitatory
VC,ECL,1.08,excitatory
AS,YPR,1.46,excitatory
KAL,KOR,0.47,excitatory
GF,LTR,0.63,excitatory
MVR,EZL,1.82,excitatory
AS,TU,1.82,excitatory
TL,CDR,0.82,excitatory
HLL,GSR,1.29,excitatory
HN,PO,0.79,excitatory
GYL,YBL,0.35,excitatory
SD,FKR,1.8,excitatory
GNR,DI,0.51,excitatory
PSR,ZT,0.17,excitatory
NUL,PJL,1.66,excitatory
XMR,WI,1.88,excitatory
XIR,BRL,0.87,excitatory
WSL,ECL,1.87,excitatory
LEL,UP,1.41,excitatory
FJR,WOL,1.99,excitatory
JR,JMR,1.81,excitatory
FH,SBL,1.01,excitatory
BE,NKL,0.88,excitatory
WIL,NI,0.38,excitatory
ZWL,BTR,0.14,excitatory
FMR,YTR,1.42,excitatory
LUR,ES,1.56,excitatory
FJR,DGL,0.77,excitatory
DU,YPR,0.74,excitatory
TJ,BBR,0.13,excitatory
GCR,NI,1.06,excitatory
JH,MZL,1.71,excitatory
VJL,FO,0.95,excitatory
MLR,XT,0.38,excitatory
MP,DVL,0.22,excitatory
MVR,RHR,1.77,excitatory
WPR,FO,0.82,excitatory
VC,WB,1.07,excitatory
DI,OOL,0.85,excitatory
IVL,MF,0.22,excitatory
SU,UB,1.03,excitatory
GJL,LUR,1.63,excitatory
FH,ZX,0.3,excitatory
HYR,WOL,1.8,excitatory
AKR,XIR,1.95,excitatory
MYR,MF,0.2,excitatory
XMR,FVL,1.71,excitatory
WJL,IO,0.87,excitatory
GBL,ISL,1.93,excitatory
KG,GF,0.97,excitatory
FU,GF,1.59,excitatory
BBR,RGR,0.4,excitatory
WDR,ZCL,0.31,excitatory
JMR,TLR,1.07,excitatory
UAR,OJL,0.12,excitatory
XV,JT,0.78,excitatory
ISL,YDR,1.51,excitatory
ZGL,HLL,1.5,excitatory
WP,FH,0.96,excitatory
CRL,ALL,0.55,excitatory
LH,WLR,1.46,excitatory
CV,YN,0.16,excitatory
WFR,VW,1.99,excitatory
FXL,WS,1.0,excitatory
TOR,GSR,1.63,excitatory
XL,NUL,0.81,excitatory
AVR,STL,0.37,excitatory
ZR,XE,0.1,excitatory
JAL,BDR,1.96,excitatory
MXR,BTR,1.57,excitatory
ALL,IEL,1.36,excitatory
DF,RSR,1.67,excitatory
CZL,AVR,1.91,excitatory
WDL,TL,1.28,excitatory
ISL,JMR,1.79,excitatory
YZL,YTL,1.72,excitatory
MY,TOL,0.47,excitatory
HA,TFR,0.41,excitatory
VC,BX,0.22,excitatory
XNR,IDR,0.41,excitatory
MXR,TIR,1.98,excitatory
DD,MY,1.2,excitatory
SSL,HN,1.8,excitatory
FKR,FA,0.6,excitatory
GZL,PPR,0.35,excitatory
UKR,GNR,1.29,excitatory
FH,PIL,1.91,excitatory
DUL,GYL,0.56,excitatory
PSR,DML,1.27,excitatory
VC,FH,0.46,excitatory
WL,NT,0.28,excitatory
JH,MZL,0.79,excitatory
ZT,OJL,0.31,excitatory
LUR,DVL,0.22,excitatory
UKR,TF,0.63,excitatory
LK,DC,1.48,excitatory
GZL,GCR,0.65,excitatory
MOL,TF,0.2,excitatory
SJR,HN,0.23,excitatory
AVR,VC,0.2,excitatory
FKR,GYL,0.93,excitatory
AI,SJR,1.16,excitatory
XT,SE,0.85,excitatory
HR,KRR,0.32,excitatory
XHL,TLR,0.25,excitatory
BWR,CX,0.75,excitatory
ZX,OHR,1.05,excitatory
ASL,BKL,1.11,excitatory
OOL,CNR,1.16,excitatory
UG,FO,1.54,excitatory
RLR,OJL,1.93,excitatory
KOR,TLR,0.71,excitatory
FVR,BE,0.18,excitatory
SRR,HK,0.93,excitatory
BE,VC,0.96,excitatory
WGL,GF,0.67,excitatory
OHR,ML,1.57,excitatory
FN,RRR,1.69,excitatory
DVL,ZYR,1.64,excitatory
CRL,JOR,1.8,excitatory
GER,DRL,0.36,excitatory
BRR,ZWL,0.63,excitatory
WUR,DRL,1.92,excitatory
FA,TOL,0.8,excitatory
KAL,FFR,1.82,excitatory
HDL,CBR,0.83,excitatory
OOL,GD,0.65,excitatory
MML,STL,1.7,excitatory
VI,SJR,0.11,excitatory
HK,CX,1.98,excitatory
WUR,WAL,0.98,excitatory
TL,EM,0.79,excitatory
BTR,XI,0.74,excitatory
YP,BX,0.85,excitatory
TF,IDR,0.2,excitatory
LAL,XI,1.83,excitatory
UKR,MPR,0.72,excitatory
WDL,HU,0.68,excitatory
XHL,PPR,0.48,excitatory
LH,YB,0.55,excitatory
IRL,WAL,0.59,excitatory
ZM,AIL,0.23,excitatory
KG,ML,1.65,excitatory
IRL,ZWL,1.78,excitatory
KG,TIR,1.56,excitatory
ES,TJ,0.63,excitatory
SRR,XT,0.62,excitatory
DVR,WDR,0.24,excitatory
PSR,FN,0.67,excitatory
HYR,NKL,1.71,excitatory
FJR,AP,0.32,excitatory
ZR,BBR,0.95,excitatory
CRL,DU,1.12,excitatory
LIR,YDR,1.07,excitatory
IVL,HU,1.6,excitatory
FIL,WPR,0.66,excitatory
TL,BER,1.1,excitatory
CZL,PZL,0.67,excitatory
FH,IRL,0.42,excitatory
GNR,FO,1.61,excitatory
IER,TU,1.95,excitatory
DRR,LTR,1.14,excitatory
STL,UOL,0.73,excitatory
VUL,WUR,1.71,excitatory
AKR,MPR,0.13,excitatory
MML,VW,1.42,excitatory
EM,GJL,1.65,excitatory
IYL,DGL,1.06,excitatory
FXL,YN,1.23,excitatory
ZZR,GE,1.89,excitatory
PJL,GER,1.6,excitatory
AOL,RRR,0.51,excitatory
PIL,ZGL,0.21,excitatory
PV,YN,0.96,excitatory
FR,YN,0.86,excitatory
ZJ,LK,0.7,excitatory
DFL,FN,0.57,excitatory
ZT,AS,0.96,excitatory
HW,JAL,1.36,excitatory
RHR,PIL,1.32,excitatory
PSR,STL,1.64,excitatory
XNR,HER,0.39,excitatory
FJR,WFL,1.6,excitatory
KG,LUR,0.28,excitatory
WAL,FR,1.75,excitatory
OKL,YPR,0.86,excitatory
JOR,OJR,0.46,excitatory
MCL,JV,0.13,excitatory
UVL,HFR,0.74,excitatory
XL,WB,1.56,excitatory
ZGL,CRL,1.61,excitatory
XMR,NUL,1.28,excitatory
MDR,CX,1.65,excitatory
VJL,GER,0.82,excitatory
HLL,ZCL,1.71,excitatory
PYL,WSL,1.76,excitatory
CZL,LXR,0.36,excitatory
PM,EM,1.3,excitatory
SD,DVR,0.8,excitatory
GZ,DUL,1.17,excitatory
JMR,WP,1.4,excitatory
SRR,LM,0.2,excitatory
GEL,HA,0.69,excitatory
EZL,SSL,1.37,excitatory
CJ,XJ,1.77,excitatory
BA,ZR,0.87,excitatory
XE,XL,0.78,excitatory
YDR,LUR,0.83,excitatory
SE,MYR,1.28,excitatory
SSL,FN,0.5,excitatory
KRR,HDL,0.86,excitatory
KRR,WUR,1.94,excitatory
ML,NXL,1.52,excitatory
DY,GNR,1.39,excitatory
JT,WDR,1.77,excitatory
WGL,AXL,1.31,excitatory
LB,ENR,1.93,excitatory
XE,FU,1.15,excitatory
SU,VW,1.12,excitatory
HLL,HN,0.41,excitatory
KIR,ZWL,0.75,excitatory
TIR,BWR,0.9,excitatory
BD,ML,1.53,excitatory
FO,GHL,0.9,excitatory
JAL,GHL,1.39,excitatory
ZR,NUL,1.91,excitatory
RGR,JRR,1.85,excitatory
JJR,JH,1.67,excitatory
IJR,LXR,1.22,excitatory
AG,PO,1.0,excitatory
IX,VC,0.94,excitatory
SRR,EER,0.12,excitatory
EGL,ZRR,1.19,excitatory
FN,ES,0.83,excitatory
DRR,WGL,0.18,excitatory
SRR,FO,0.44,excitatory
YB,HYR,0.45,excitatory
BX,HW,1.57,excitatory
IO,ZYR,0.31,excitatory
OT,FJR,0.77,excitatory
XIR,CBR,0.21,excitatory
ESR,GBL,0.51,excitatory
OOL,RGR,0.46,excitatory
IJ,HSR,1.53,excitatory
DML,XE,0.53,excitatory
DU,VF,1.07,excitatory
JAL,KRR,0.86,excitatory
FXL,VC,1.65,excitatory
MDR,IO,0.3,excitatory
LAL,IEL,0.44,excitatory
KS,FA,0.26,excitatory
LX,GE,0.37,excitatory
GD,YTR,1.7,excitatory
HN,FN,0.51,excitatory
CV,GZL,1.33,excitatory
GML,VZ,0.29,excitatory
WB,RGR,0.77,excitatory
UOL,RRR,1.79,excitatory
FXL,VUL,1.54,excitatory
OT,PPR,1.49,excitatory
LH,GE,0.96,excitatory
FVR,MXR,0.81,excitatory
PO,XML,0.76,excitatory
ZX,TL,1.69,excitatory
GD,ASL,1.87,excitatory
NUL,UT,1.88,excitatory
IJ,TIR,0.26,excitatory
ML,GJL,1.14,excitatory
MZL,FUL,0.64,excitatory
GD,XE,1.3,excitatory
JR,CIL,0.84,excitatory
AS,HLL,0.74,excitatory
XT,YUL,0.88,excitatory
KRR,PJR,1.98,excitatory
UOL,MML,1.48,excitatory
NKL,BRL,0.43,excitatory
DFL,ML,0.13,excitatory
XJ,LO,0.17,excitatory
UOL,SSL,1.76,excitatory
PPR,XHL,0.98,excitatory
HRR,GZ,1.12,excitatory
NCR,GIL,0.49,excitatory
MDR,YP,1.44,excitatory
XI,JJR,0.12,excitatory
SSL,HYR,0.64,excitatory
CDR,MZ,1.4,excitatory
NI,FKR,1.29,excitatory
WGL,WL,0.74,excitatory
MPR,LAL,0.96,excitatory
WGL,MY,0.19,excitatory
AVR,WFL,0.96,excitatory
CBR,SRR,0.19,excitatory
FZR,JV,1.21,excitatory
DFL,BA,1.48,excitatory
VI,WF,1.72,excitatory
WH,ZUL,0.37,excitatory
VW,GSR,1.35,excitatory
WFR,NCR,0.65,excitatory
FA,DFL,1.69,excitatory
DY,DC,0.7,excitatory
EER,LX,0.17,excitatory
KM,GCR,1.61,excitatory
XUR,WUR,0.54,excitatory
IEL,RGR,0.94,excitatory
WFL,FO,1.08,excitatory
ZWL,FMR,1.59,excitatory
SAR,GF,0.24,excitatory
ISL,HJ,1.92,excitatory
UP,VF,0.23,excitatory
VZR,MP,1.56,excitatory
OT,GZL,0.88,excitatory
PIL,MVR,0.23,excitatory
MZ,OJL,1.24,excitatory
JOR,EGL,0.55,excitatory
LX,WUR,1.3,excitatory
MYR,GZ,1.09,excitatory
BWR,JGR,1.97,excitatory
ALL,FIL,1.86,excitatory
MZ,KRR,0.54,excitatory
WOL,NKL,0.64,excitatory
WFL,BE,0.16,excitatory
IO,GER,1.03,excitatory
IO,YPR,1.25,excitatory
LX,LEL,1.59,excitatory
ES,ECL,0.33,excitatory
JJR,YT,0.36,excitatory
DU,DI,1.26,excitatory
WDR,AXL,1.89,excitatory
ECL,BA,1.84,excitatory
PM,UOL,0.73,excitatory
GZ,HHR,1.39,excitatory
ISL,LM,0.78,excitatory
XNR,AIL,0.21,excitatory
HU,UKR,1.31,excitatory
EZL,WDL,1.48,excitatory
KG,XE,0.87,excitatory
KAL,GZ,0.95,excitatory
XE,WI,0.81,excitatory
NKL,IX,1.53,excitatory
ECL,MVR,0.24,excitatory
YPR,KG,1.96,excitatory
WIL,ASL,0.7,excitatory
SSL,ZX,1.73,excitatory
ZX,HER,1.2,excitatory
DU,JGR,0.11,excitatory
UAR,IPL,1.36,excitatory
EHL,KRR,0.78,excitatory
JT,AP,1.89,excitatory
IRL,MR,0.47,excitatory
ALL,JV,1.76,excitatory
VZR,FO,1.77,excitatory
ZT,UVL,1.15,excitatory
GNR,WS,1.89,excitatory
ES,AG,0.69,excitatory
HU,HER,0.26,excitatory
OJR,CDR,0.58,excitatory
DVL,LEL,0.63,excitatory
NO,KM,1.8,excitatory
WFL,XMR,1.88,excitatory
HN,GU,0.78,excitatory
WLR,JAL,1.17,excitatory
RLR,WJ,1.56,excitatory
AE,WF,0.86,excitatory
WS,WF,0.11,excitatory
MXR,DRR,1.83,excitatory
GYL,AKR,1.76,excitatory
MPR,VOL,1.43,excitatory
BE,HSR,0.23,excitatory
RRR,IER,0.64,excitatory
HU,FZR,0.94,excitatory
BDR,YPR,1.06,excitatory
UE,ISL,0.85,excitatory
LUR,XMR,1.87,excitatory
MY,WJL,1.51,excitatory
JMR,AXL,1.29,excitatory
MDR,BRR,1.37,excitatory
GML,FU,1.01,excitatory
IPL,TFR,0.27,excitatory
HHR,DD,0.67,excitatory
WLR,WDR,1.7,excitatory
RLR,PYL,0.1,excitatory
LEL,WB,0.78,excitatory
MYR,EUR,0.63,excitatory
ZYR,BWR,0.72,excitatory
TL,JR,1.46,excitatory
WUR,UP,0.69,excitatory
FXL,RLR,1.87,excitatory
TOL,AG,0.29,excitatory
ZRR,JAL,1.54,excitatory
XE,CX,1.24,excitatory
JGR,FIL,1.73,excitatory
YBL,DML,0.1,excitatory
GNR,BKL,0.36,excitatory
VKR,LM,1.56,excitatory
UKR,XIR,1.46,excitatory
KOR,BTR,0.63,excitatory
IVL,DVR,0.23,excitatory
AG,LUR,0.67,excitatory
UE,NW,1.5,excitatory
AP,DGL,1.57,excitatory
JV,OKL,1.41,excitatory
SU,ES,0.59,excitatory
HN,CDR,0.14,excitatory
IYL,NW,1.59,excitatory
BX,GUL,0.36,excitatory
RRR,BPR,1.92,excitatory
TBR,GIL,0.97,excitatory
MOL,UOL,0.94,excitatory
NT,CDR,1.23,excitatory
AE,YZL,0.5,excitatory
DVR,JR,0.46,excitatory
UKR,PSR,0.11,excitatory
IEL,ZBL,1.2,excitatory
CV,KIR,1.09,excitatory
GNR,PNL,1.67,excitatory
SD,ES,1.02,excitatory
GNR,TL,1.53,excitatory
EDR,GD,1.24,excitatory
HI,LUR,1.32,excitatory
MXR,BTR,0.76,excitatory
HJ,XMR,0.57,excitatory
VI,VAL,0.27,excitatory
CZL,XI,0.2,excitatory
JGR,VAL,0.5,excitatory
TOL,WH,1.56,excitatory
NT,MY,0.95,excitatory
ZUL,WOL,0.79,excitatory
TFR,SE,0.38,excitatory
EGL,HLL,1.34,excitatory
WOL,FVL,1.93,excitatory
MDR,SJR,0.59,excitatory
MCL,ZM,1.36,excitatory
AIL,LM,0.95,excitatory
IEL,EM,0.52,excitatory
MZL,MCL,0.47,excitatory
RHR,MF,1.03,excitatory
IVL,BE,0.15,excitatory
OHR,HLL,1.59,excitatory
OKL,VW,1.54,excitatory
DRL,UT,0.77,excitatory
GUL,OHR,1.88,excitatory
WGL,HR,0.92,excitatory
LM,FFR,0.44,excitatory
HU,CNR,1.86,excitatory
LH,ENR,1.28,excitatory
LK,HFR,1.06,excitatory
BWR,BRL,0.51,excitatory
JJR,EM,0.33,excitatory
FVR,BWR,0.14,excitatory
YT,HR,1.33,excitatory
CX,UE,0.2,excitatory
FA,PJL,1.18,excitatory
DML,LK,0.43,excitatory
VJL,JOR,1.19,excitatory
MML,ZX,0.97,excitatory
ZBL,MVR,0.68,excitatory
PYL,HRR,0.41,excitatory
NO,LM,1.1,excitatory
RLR,KRR,0.31,excitatory
TIR,CX,1.85,excitatory
OCR,GHL,0.28,excitatory
OCR,JOR,0.69,excitatory
KIR,LAL,0.55,excitatory
JMR,ES,1.22,excitatory
WP,TOR,1.13,excitatory
MZL,LH,1.08,excitatory
JMR,GF,0.33,excitatory
NT,GF,1.61,excitatory
VKR,LM,1.34,excitatory
KS,LIR,1.09,excitatory
CIL,CYR,0.37,excitatory
ZRR,GEL,0.73,excitatory
DF,WI,0.49,excitatory
FR,SE,1.83,excitatory
DRL,ZBL,1.09,excitatory
TIR,VKR,1.67,excitatory
WP,NT,1.68,excitatory
FN,VAL,1.26,excitatory
BKL,BRL,1.78,excitatory
FFR,GUL,1.39,excitatory
TBR,MZL,0.11,excitatory
FA,HDL,0.55,excitatory
ASL,SU,1.4,excitatory
PSR,EGL,0.74,excitatory
HER,WL,0.14,excitatory
PYL,HA,1.32,excitatory
KRR,WFR,0.25,excitatory
EGL,MDR,1.26,excitatory
LUR,ZGL,0.77,excitatory
IDR,LO,0.75,excitatory
EM,PZL,1.92,excitatory
HR,WB,1.65,excitatory
XI,ZBL,0.86,excitatory
MZ,LXR,0.5,excitatory
ESR,YPL,1.97,excitatory
BDR,FJR,0.23,excitatory
ZJ,YB,1.62,excitatory
ENR,FR,1.7,excitatory
EZL,CBR,1.29,excitatory
RRR,JR,1.05,excitatory
GD,JH,1.77,excitatory
XV,MDR,1.49,excitatory
FH,RLR,1.82,excitatory
IO,BKL,1.5,excitatory
XMR,WUR,1.54,excitatory
XML,HER,0.17,excitatory
BER,KS,1.37,excitatory
WFR,YPR,0.81,excitatory
JO,VF,0.64,excitatory
SJR,BBR,0.74,excitatory
SJR,LK,0.57,excitatory
LAL,AG,0.71,excitatory
WH,OT,0.55,excitatory
YDR,HK,0.16,excitatory
VC,BPR,1.74,excitatory
GEL,LXR,0.73,excitatory
BRR,UKR,0.96,excitatory
EGL,GYL,0.38,excitatory
FIL,PJL,0.2,excitatory
EER,LO,0.54,excitatory
KG,JO,0.2,excitatory
TOL,UE,0.59,excitatory
MYR,VOL,1.17,excitatory
WOL,AP,0.42,excitatory
KIR,GHL,0.59,excitatory
EUR,CNR,1.42,excitatory
BA,RRR,1.63,excitatory
XML,XIR,0.54,excitatory
SSL,MP,1.72,excitatory
UKR,HFR,1.92,excitatory
RHR,NKL,0.42,excitatory
FKR,CRL,1.33,excitatory
PV,YB,0.1,excitatory
VJL,EZL,0.24,excitatory
TF,ZYR,0.64,excitatory
XEL,FMR,1.68,excitatory
SBL,NCR,0.46,excitatory
VZ,FVR,1.16,excitatory
LIR,MVR,1.94,excitatory
EHL,MCL,1.85,excitatory
PV,NCR,1.55,excitatory
OT,XML,1.1,excitatory
WGL,ZM,0.51,excitatory
IX,GYL,0.2,excitatory
SSL,HHR,1.78,excitatory
GZ,SD,0.75,excitatory
GD,FO,1.72,excitatory
AI,YT,0.23,excitatory
NCR,HDL,0.11,excitatory
FMR,MY,1.56,excitatory
JR,FH,0.96,excitatory
GSR,SAR,1.01,excitatory
XHL,OJL,1.4,excitatory
STL,YZL,0.12,excitatory
LX,FXL,0.16,excitatory
UB,DC,1.54,excitatory
NPR,UG,1.8,excitatory
PJR,SE,0.73,excitatory
FU,WJ,0.42,excitatory
XMR,GCR,1.43,excitatory
AVR,DD,1.07,excitatory
LIR,PPR,0.83,excitatory
WF,WDR,1.84,excitatory
DVR,RLR,1.42,excitatory
MVR,BPR,0.26,excitatory
